Cell,ATF3(+),ELF2(+),IRF8(+),IRF9(+),KDM5A(+),MEIS2(+),NFKB1(+),NFKB2(+),REL(+),RELB(+),STAT2(+),TAF1L(+),YY1(+),HIVEP3(+),IRF8(+),IRF9(+),NFKB1(+),REL(+),SREBF1(+),ELF2(+),IRF8(+),IRF9(+),KDM5A(+),NFKB1(+),REL(+),RELB(+),SREBF1(+),TAF1L(+),USF1(+),USF2(+),YY1(+),ZNF232(+),IRF8(+),OTX1(+),TAF1L(+),ARID3A(+),IRF8(+),IRF9(+),KDM5A(+),NFKB1(+),RELA(+),RELB(+),SREBF1(+),STAT2(+),TAF1L(+),ELF1(+),HIVEP3(+),IRF7(+),MAX(+),NFKB1(+),REL(+),RELB(+),STAT2(+),USF2(+),YY1(+)
HN25_P5_E10_S58_comb,0.14120817245817247,0.0,0.0,0.0821531198686371,0.0,0.0,0.008779761904761905,0.0,0.0,0.04096177944862155,0.07245484400656814,0.0,0.0,0.02922077922077922,0.0,0.21658549783549783,0.0,0.0,0.0,0.0,0.0,0.21658549783549783,0.0,0.013862781954887217,0.0,0.048642113095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011043233082706766,0.0,0.0,0.0,0.19853670634920634,0.0,0.0,0.0,0.11118197278911565,0.0,0.1054563492063492,0.0,0.03438562925170068,0.012998949579831933,0.015784438775510203,0.0248015873015873,0.02801398337112623,0.011019439421338156,0.0690284178187404,0.04868659420289855,0.0,0.0
HN25_P24_B02_S110_comb,0.0,0.0,0.0,0.06609195402298851,0.0,0.0,0.0,0.0,0.0,0.0,0.0798440065681445,0.0,0.0,0.0349025974025974,0.0,0.17424242424242425,0.0,0.0,0.0,0.0,0.0,0.17424242424242425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007427422723475355,0.0,0.0,0.0,0.1597222222222222,0.0,0.0,0.0,0.0,0.0,0.1183531746031746,0.0,0.03045280612244898,0.0,0.0,0.017676767676767676,0.013629062736205594,0.011433845690174804,0.026953725038402456,0.006696428571428571,0.0,0.0
HN25_P25_C01_S313_comb,0.10267857142857142,0.0,0.03374356499356499,0.0841543513957307,0.0,0.0,0.03630952380952381,0.04794973544973545,0.001209077380952381,0.0,0.07650862068965517,0.0,0.0,0.0,0.05952380952380952,0.19521103896103897,0.01207010582010582,0.0,0.0,0.0,0.09740259740259741,0.19521103896103897,0.0,0.05733082706766917,0.0016121031746031745,0.0,0.0,0.0,0.0,0.0,0.0,0.06058673469387755,0.05357142857142857,0.007623224728487886,0.0,0.0,0.044642857142857144,0.17894345238095238,0.0,0.014781746031746031,0.19387755102040816,0.0,0.0,0.13601190476190475,0.0,0.07367400085034014,0.05510329131652661,0.0815795068027211,0.019029581529581528,0.05661848072562358,0.039330922242314645,0.07387672811059907,0.015722049689440992,0.0,0.009909361471861472
HN28_P15_G06_S366_comb,0.08988899613899613,0.0,0.004826254826254826,0.037510262725779966,0.0,0.0,0.0,0.0,0.0,0.0,0.014470443349753694,0.0,0.0,0.0,0.0,0.06074134199134199,0.0,0.0,0.0,0.0,0.0,0.06074134199134199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00775375939849624,0.0,0.0,0.0,0.09064980158730158,0.0,0.0,0.0,0.0,0.0,0.027976190476190477,0.0,0.02190954506802721,0.009716386554621849,0.006377551020408163,0.021645021645021644,0.027021919879062738,0.0,0.013008832565284179,0.034873188405797104,0.0,0.019074675324675324
HN26_P6_B06_S18_comb,0.13533622908622908,0.0,0.04283301158301158,0.045617816091954026,0.031994047619047616,0.0,0.0,0.0,0.0,0.006970551378446115,0.04351395730706076,0.0,0.010515873015873017,0.046807359307359304,0.01951058201058201,0.061282467532467536,0.0,0.0,0.0,0.0,0.09009740259740259,0.061282467532467536,0.0,0.0,0.0,0.008277529761904762,0.0,0.0,0.059736394557823126,0.0,0.0,0.0,0.049553571428571426,0.018379281537176273,0.0,0.0,0.027405753968253968,0.07341269841269842,0.0,0.0,0.0,0.0,0.0,0.08412698412698413,0.0,0.04060374149659864,0.007309173669467787,0.03236607142857143,0.04482323232323232,0.03337585034013606,0.018158529234478603,0.055251536098310294,0.012745859213250518,0.0,0.010078463203463204
HN25_P5_C05_S29_comb,0.07742117117117117,0.0,0.021356177606177605,0.033045977011494254,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.056188423645320194,0.0,0.0,0.0,0.0,0.08712121212121213,0.0,0.0,0.004464285714285714,0.0,0.0,0.08712121212121213,0.0,0.0,0.0,0.0,0.006087662337662338,0.0,0.0,0.0,0.0,0.0,0.0,0.008889411027568923,0.0,0.0,0.0,0.0798611111111111,0.0,0.0,0.0,0.0,0.0035244360902255637,0.07242063492063493,0.0,0.03453178146258504,0.0,0.02822066326530612,0.023448773448773448,0.04766628873771731,0.026879897528631704,0.08369335637480799,0.0807129917184265,0.0,0.0
HN28_P6_D09_S141_comb,0.1785312097812098,0.0,0.025056306306306307,0.0,0.0,0.0,0.004315476190476191,0.0,0.008091517857142858,0.0,0.0,0.0,0.0,0.052759740259740256,0.0,0.0,0.014384920634920634,0.0,0.00625,0.0,0.08428030303030302,0.0,0.022023809523809525,0.00681390977443609,0.010788690476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04635416666666667,0.007832080200501253,0.0,0.0,0.0,0.0,0.022023809523809525,0.008630952380952382,0.0,0.0,0.004934210526315789,0.0,0.0,0.02852625425170068,0.02262780112044818,0.007546768707482993,0.027867965367965368,0.01669973544973545,0.014278179626280892,0.04003456221198157,0.0171777950310559,0.0,0.00294237012987013
HN26_P5_H01_S85_comb,0.11502574002574002,0.0,0.013473294723294723,0.046182266009852216,0.10639880952380952,0.0,0.028819444444444446,0.0,0.0,0.0,0.06670771756978654,0.0,0.0,0.2774621212121212,0.02769510582010582,0.11985930735930736,0.0,0.0,0.0,0.0,0.04531926406926407,0.11985930735930736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02492559523809524,0.008249791144527986,0.0,0.0,0.020771329365079364,0.11160714285714286,0.0,0.0,0.0,0.0,0.0,0.12896825396825398,0.0,0.02214870323129252,0.08460259103641457,0.04251700680272109,0.03521825396825397,0.02900604686318972,0.025523658830620854,0.07414074500768049,0.06447334368530021,0.0,0.0
HN26_P13_D07_S139_comb,0.0275498712998713,0.0,0.0,0.06727216748768473,0.0,0.0,0.0,0.0,0.0,0.0,0.0735324302134647,0.0,0.0,0.0,0.0,0.1773538961038961,0.0,0.0,0.0,0.0,0.0,0.1773538961038961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02397921888053467,0.0,0.0,0.0,0.16257440476190477,0.0,0.0,0.0,0.0,0.0,0.1421626984126984,0.0,0.04092261904761905,0.0,0.0,0.01488095238095238,0.023077286470143614,0.010510849909584086,0.042482718894009217,0.032349896480331264,0.0,0.015861742424242424
HN26_P5_E06_S54_comb,0.0847007722007722,0.0,0.012749356499356499,0.04556650246305419,0.0,0.0,0.0,0.0,0.0,0.0,0.061319786535303775,0.0,0.0,0.08766233766233766,0.02620701058201058,0.12012987012987013,0.0,0.0,0.0,0.0,0.042884199134199136,0.12012987012987013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023586309523809523,0.011735066833751044,0.0,0.0,0.019655257936507936,0.11011904761904762,0.0,0.0,0.0,0.0,0.0,0.1185515873015873,0.0,0.022175276360544217,0.07247899159663866,0.0,0.023493867243867244,0.013629062736205594,0.007836045810729355,0.053643433179723504,0.039466873706004144,0.0,0.0
