Csf2,Il3ra
Pthlh,Crhr1
Nms,Crhr2
Nmb,Dpp4
Npy,Nmbr
Il5,Il10rb
Adcyap1,Kel
Sst,Ednra
Ptma,Pth2r
Cort,Npffr1
Pthlh,Crhr2
Gal,Tacr1
Nts,Crhr2
Selplg,Vipr1
Gal,Crhr1
Hcrt,Prlhr
Nmu,Gipr
Hcrt,Grpr
Ptma,Pth1r
Icosl,Cd200r1
Nmb,Gcgr
Adcyap1,Gcgr
Csf2,Il12rb1
Hcrt,Ednrb
Epo,Cntfr
Adcyap1,Gipr
Selplg,Calcrl
Cck,Crhr1
Insl5,Oprk1
Sst,Galr1
Adcyap1,Pth2r
Il7,Cntfr
Nmu,Sctr
Lgals3,Cd80
Lgals9,Cd8a
Npff,Crhr1
Il21,Il5ra
Cort,Npy2r
Il4,Il10rb
Nmb,Pth1r
Mif,Kel
Csf2,Il4ra
Hcrt,Kel
Lgals3,Cd8a
Eda,Fas
Nmu,Cckbr
Sst,Npbwr1
Hcrt,Galr2
Cort,Prlhr
Nmb,Vipr1
Nmu,Nmbr
Ptma,Dpp4
Il4,Csf2rb
Nts,Crhr1
Cxcl12,Prokr2
Sst,Grpr
Il21,Cntfr
Eda,Tnfrsf1a
Il21,Il2rb
Ptma,Ramp3
Sst,Ednrb
Pth,Ramp2
Cort,Galr2
Ghrh,Calcrl
Pth,Calcr
Selplg,Fap
Vwf,Tlr4
Insl5,Oprd1
Csf2,Prlr
Selplg,Tacr1
Hcrt,Nmbr
Adcyap1,Sctr
Cort,Kel
Nmu,Sstr4
Insl5,Tacr2
Il3,Csf2rb
Csf2,F3
Adcyap1,Calcr
Il4,Csf2rb2
Nmb,Pth2r
Uts2,Crhr1
Pth,Gcgr
Il21,Il22ra2
Il3,Prlr
Npff,Crhr2
Sst,Phex
Eda,Adipor2
Insl5,Qrfpr
Il3,Il6ra
Adcyap1,Brs3
Eda,Tnfrsf25
Il4,Cntfr
Nmu,Oprd1
Insl5,Sstr4
Sst,Aplnr
Tnfsf9,Fas
Adcyap1,Tacr1
Pth,Sctr
Ptma,Calcrl
Cxcl12,Ccr7
Ptma,Phex
Ghrh,Pth2r
Selplg,Oprm1
Lgals3,Tlr4
Insl5,Brs3
Cxcl12,Ackr1
Il13,Il22ra2
Cort,Trhr
Hcrt,Oprd1
Lgals9,Cd200r1
Il12a,Cntfr
Hcrt,Calcrl
Il3,Il5ra
Selplg,Pth2r
Selplg,Npbwr1
Icosl,Cd200r2
Tnfsf13b,Fas
Iapp,Tacr1
Lgals3,Icos
Il21,Prlr
Cort,Cckar
Galp,Tacr3
Insl5,Galr2
Csf2,Osmr
Hcrt,Sstr1
Cxcl12,Cxcr1
Npvf,Crhr1
Csf2,Csf2rb2
Csf2,Ghr
Ghrh,Pth1r
Cxcl12,Cxcr2
Nmb,Aplnr
Pth,Kel
Galp,Tacr2
Cck,Crhr2
Insl5,Uts2r
Hcrt,Dpp4
Csf2,Mpl
Npy,Hcrtr2
Hcrt,Aplnr
Pyy,Tacr1
Hcrt,Cckbr
Galp,Brs3
Il3,Il2rg
Csf2,Il23r
Nts,Tacr3
Il21,Csf3r
Adm2,Crhr1
Cxcl12,Cxcr5
Il4,Il2rb
Sst,Pth1r
Csf2,Lepr
Nmu,Phex
Nmb,Hcrtr2
Mif,P2rx7
Rln3,Kel
Hcrt,Oprk1
Pth,Tacr1
Insl5,Prlhr
Mif,Phex
Ifng,Il10rb
Pth,Glp2r
Mif,Prlhr
Edn3,Crhr1
Il7,Il10rb
Il21,Il9r
Adcyap1,Glp2r
Eda,Adipor1
Cort,Calcrl
Fn1,Cav1
Tnfsf9,Adipor2
Mif,Ly96
Hcrt,Sstr2
Pth,Vipr2
Sst,Dpp4
Uts2,Tacr1
Selplg,Calcr
Il21,Il4ra
Il3,Il9r
Grp,Brs3
Il7,Csf3r
Nmb,Nmur2
Lgals3,Fgfrl1
Gal,Tacr3
Hcrt,Phex
Ptma,Kel
Epo,Prlr
Sst,Vipr1
Ghrh,Tacr1
Cxcl12,Prokr1
Tnfsf11,Fas
Npy,Gpr37l1
Nmb,Gpr37l1
Il21,Il13ra2
Nmu,Pth2r
Sema4g,Plxna2
Adm2,Crhr2
Il3,Il2rb
Npvf,Crhr2
Nms,Tacr1
Npff,Tacr1
Hcrt,Sstr5
Il7,Csf2rb
Cort,Npffr2
C1qa,Adipor1
Lgals9,Fcgr1
Lgals3,Nectin4
Igf2,Lrp2
Ang,Lrp2
Il3,Il13ra2
Nmu,Gpr37l1
Hcrt,Pth1r
Sema4c,Plxna2
Selplg,Sstr1
Il12a,Prlr
C1qtnf5,Adipor1
Insl5,Phex
Tnfsf4,Fas
Il21,Il6ra
Il4,Epor
Cort,Dpp4
Lgals3,Cd200r2
Il3,Il10rb
Cort,Pth1r
Il7,Csf2rb2
Sema4c,Plxna4
Insl5,Tacr3
Gal,Kel
Npvf,Tacr1
Sst,Nmbr
Sema4d,Plxna4
Hcrt,Vipr1
Il3,Il11ra1
Cort,Vipr1
Galp,Phex
Selplg,Aplnr
Lgals9,Icos
Il4,Il20rb
Vwf,Cav1
Ptma,Ramp1
Gal,Brs3
Adcyap1,Sstr4
Vegfa,Tlr4
Pthlh,Pth2r
Sema4g,Plxna4
Adcyap1,Cckar
Il4,Il22ra2
Tnfsf13,Fas
Nts,Tacr2
